label,text
From: Trey Radel (Representative from Florida),RT @nowthisnews: Rep. Trey Radel (R- #FL) slams #Obamacare. #politics https://t.co/zvywMG8yIH
From: Mitch McConnell (Senator from Kentucky),VIDEO - #Obamacare:  Full of Higher Costs and Broken Promises: http://t.co/dn3vzqIrWF
From: Kurt Schrader (Representative from Oregon),Please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices.
From: Michael Crapo (Senator from Idaho),RT @SenatorLeahy: 1st step toward Senate debate on Leahy-Crapo #VAWA bill is the Senate‰Ûªs procedural vote today at 5:30 pm
From: Mark Udall (Senator from Colorado),.@amazon delivery #drones show need to update law to promote #innovation &amp; protect #privacy. My #UAS bill does that: http://t.co/l9ta5SKq6u
From: Heidi Heitkamp (Senator from North Dakota),Called on the @USDOTFRA to release info about inspections before the #CasseltonDerailment to review quality of rails. (1/2)
From: Frederica Wilson (Representative from Florida),"@BBCWorld, help us keep the kidnapped Nigerian school girls' story out front. #BringBackOurGirls #JoinRepWilson http://t.co/ZqZVT80mga"
From: Ron Barber (Representative from Arizona),Show your Arizona pride-choose your favorite S. AZ picture for my Facebook cover photo! Retweet to spread the word! https://t.co/7PHHigA8nd
From: Chuck Fleischmann (Representative from Tennessee),What a wonderful night at State Senator Ken Yager‰Ûªs Chili Supper benefitting the Boys &amp; Girls Clubs of Roane County. http://t.co/DsyoAFZvkR
From: Steny Hoyer (Representative from Maryland),"Great op-ed by Pres. Clinton about signing #FMLA 20 yrs ago today, an important law protecting workers http://t.co/csYEv7O4 #HoyerHeadlines"
From: John Fleming (Representative from Louisiana),"As POTUS golfs, pushes amnesty &amp; ignores Keystone, American people are concerned about jobs, econ &amp; health care costs http://t.co/p9sPDYOAca"
From: Adam Kinzinger (Representative from Illinois),The President doesn‰Ûªt get to just decide he doesn‰Ûªt like Congress and do his own thing: http://t.co/jmclKjUzSG
From: Thomas Carper (Senator from Delaware),"FACT: The Recovery Act cut taxes for middle-class families, kept teachers in the classroom, &amp; police &amp; firefighters on the streets."
From: Gregg Harper (Representative from Mississippi),RT @MHA: Telemedicine consults at rural ERs helps prevent prescription errors (via @genevrapittman for @medcitynews) http://t.co/VEyo4ScM3g
From: John Dingell (Representative from Michigan),"@SkitchP Wouldn't wish that on anyone. Even you, Skitch."
From: Kirsten Gillibrand (Senator from New York),"At 5:45pm, Sen. @CoryBooker will give his maiden Senate speech on need to #RenewUI--such an impt issue! Follow @SenBookerofc for livetweets."
From: Cory Booker (Senator from New Jersey),"""...if you have come because your liberation is bound up with mine, then let us work together."" ‰ÛÒ Lilla Watson http://t.co/6WPXW9QUM0"
From: Elizabeth Esty (Representative from Connecticut),"For health coverage starting Jan. 1st, you must sign up for @AccessHealthCT by end of today: http://t.co/fS7mNrPpmB #GetEnrolled"
From: Eric Cantor (Representative from Virginia),The House will vote this week to #DefundObamacare and keep the government open.
From: Paul Tonko (Representative from New York),Tks to Margaret 4 joining me in DC to share successes Niskayuna NCAP saw in education &amp; prevention of substance abuse http://t.co/kvS6kAkJyT
From: Michael Crapo (Senator from Idaho),A great look back at at Idaho Native American tribes in 1863. #idpol #idaho150 Via @KTVB http://t.co/JsxSWVpDPv
From: Orrin Hatch (Senator from Utah),"#OTD in 1969, American astronaut Neil Armstrong stepped off the lunar landing module Eagle and walked on the surface of the moon"
From: Niki Tsongas (Representative from Massachusetts),RT if you agree: It's time to #ActOnClimate change ‰ Õ more info on the #NCA2014 released today at http://t.co/SdCnKyUDVJ
From: Kerry Bentivolio (Representative from Michigan),We will vote on the Working Families Flexibility Act. Would you like the flexibility to choose how you're comp'd for overtime? #YourTime
From: Pete Sessions (Representative from Texas),"Reminder: Next week, my office will be holding mobile office hours in Sachse and Wylie. Learn more: http://t.co/38p28m2O0I #TX32"
From: John Rockefeller IV (Senator from West Virginia),This wk‰Ûªs 1 min video is on how expanding Medicaid in #WV will help so many families get affordable health care. http://t.co/VDUMX9R4x5
From: Steve Womack (Representative from Arkansas),Thinking of all those affected by the severe weather today - especially in Oklahoma.  Stay safe.
From: Randy Hultgren (Representative from Illinois),Remember Bill? He and his friends are stuck on @SenatorReid's desk. #4jobs http://t.co/0DCNU1R3G7
From: Bob Casey (Senator from Pennsylvania),Slashing Amtrak‰Ûªs funding by 1/3 at a time of increasing ridership will hurt PA‰Ûªs economy. http://t.co/dqtBbksslg https://t.co/4y6igwxWnr
From: Steve Daines (Representative from Montana),"American #energy production is creating #jobs, holding prices down, and promoting energy independence: http://t.co/Pw6cdXrHiR"
From: John Fleming (Representative from Louisiana),"#Obamacare spawning a new concept: ""medical homelessness.""  http://t.co/mmupzZKMqJ"
From: Tom Price (Representative from Georgia),"MUST READ from @marcthiessen -- ""Kidnapped Libyan prime minister pays the price for an Obama leak"" http://t.co/MHHab1V0XD"
From: Sander Levin (Representative from Michigan),Delaying or refusing to vote to #RenewUI has real life consequences for 2.8 million Americans- http://t.co/srPRCzH2Dg http://t.co/FYzWGvwKXz
From: Mitch McConnell (Senator from Kentucky),"In his office in the @uscapitol, Senator McConnell congratulated &amp; welcomed Senator-elect Bill Cassidy to the Senate http://t.co/fyZY42ddZP"
From: Chris Collins (Representative from New York),".@HouseofCards, if you don‰Ûªt like Long Island wine, I suggest giving @FLXWineCountry or @Niagwinetrail wines a try."
From: Martha Roby (Representative from Alabama),"""Six enrolled on health site on Day 1"" via @politico. #trainwreck http://t.co/ng4OzR3pab"
From: C.A. Dutch Ruppersberger (Representative from Maryland),$10M in federal funds will help relieve congestion around @FtMeadeMD! More: http://t.co/biOp5x3HYX
From: Lindsey Graham (Senator from South Carolina),Job well done by the members of the SC House of Representatives who voted down Medicaid expansion yesterday.  #scnews
